iter	Logloss
0	0.6909942983
1	0.6890055006
2	0.6870385464
3	0.6850104024
4	0.6831854585
5	0.6806042357
6	0.6787711665
7	0.6772894058
8	0.6750576407
9	0.6739403466
10	0.6718921063
11	0.6698221171
12	0.6678838558
13	0.6655645377
14	0.6636844358
15	0.6616861567
16	0.6594761665
17	0.6576434451
18	0.6554058651
19	0.6538153258
20	0.6517577994
21	0.64956311
22	0.6480715246
23	0.6459261279
24	0.6436051666
25	0.6415044992
26	0.6399026139
27	0.6386140632
28	0.6361291351
29	0.6343563867
30	0.6322102141
31	0.6301109301
32	0.6283289116
33	0.6271654425
34	0.6253530658
35	0.6241101339
36	0.6219876968
37	0.6201922487
38	0.6182568234
39	0.6163240701
40	0.6145582593
41	0.6128233959
42	0.6112135564
43	0.6098911534
44	0.6080773644
45	0.6064831292
46	0.6048927428
47	0.6034487092
48	0.6015052399
49	0.5998665762
50	0.5979726415
51	0.5966235071
52	0.5948142351
53	0.5934097195
54	0.5920188023
55	0.5906983703
56	0.5892948322
57	0.5873839044
58	0.5860978378
59	0.5844860712
60	0.5834917191
61	0.582284897
62	0.5812419895
63	0.5797966696
64	0.5781692317
65	0.5769343035
66	0.5751605326
67	0.5738038387
68	0.5727736011
69	0.5712435006
70	0.5700986161
71	0.5688399463
72	0.5677245825
73	0.566082295
74	0.5645551597
75	0.5630946167
76	0.561707122
77	0.5601256577
78	0.5589833358
79	0.557302358
80	0.5560860406
81	0.5550902452
82	0.5533521483
83	0.5520485594
84	0.5504132994
85	0.5492418382
86	0.5481490265
87	0.5469356732
88	0.5457078937
89	0.5439688875
90	0.5428015069
91	0.5413799099
92	0.5394384146
93	0.5380245723
94	0.5365892639
95	0.5353003852
96	0.5338608272
97	0.5323153862
98	0.5308244166
99	0.5297598633
100	0.5284204123
101	0.5274411021
102	0.5260576728
103	0.5244104594
104	0.5232522241
105	0.5220592648
106	0.5204873672
107	0.5196333382
108	0.5183376317
109	0.5171350737
110	0.516084681
111	0.5150412542
112	0.5137615019
113	0.5123632631
114	0.5110125608
115	0.5097210785
116	0.5086786092
117	0.5077357513
118	0.5068960908
119	0.5059506293
120	0.5049395324
121	0.5036586787
122	0.5023600093
123	0.5011572395
124	0.499786131
125	0.4988710211
126	0.4976638872
127	0.4965493509
128	0.4954549135
129	0.4942995932
130	0.4930820676
131	0.4919903769
132	0.4909969979
133	0.4899430049
134	0.4889431958
135	0.4876811436
136	0.4865537652
137	0.4856019435
138	0.4844315312
139	0.4833952845
140	0.4824180505
141	0.4815654181
142	0.4806960225
143	0.479744211
144	0.4789798844
145	0.4781874203
146	0.4775318315
147	0.4767343474
148	0.4755327241
149	0.4745878079
150	0.4737990714
151	0.47306629
152	0.4719656363
153	0.4710655518
154	0.4695685057
155	0.4687319658
156	0.4678067954
157	0.4669089766
158	0.4660010153
159	0.4650851726
160	0.4637370313
161	0.4628227429
162	0.4618368454
163	0.4607411095
164	0.4595952102
165	0.458535598
166	0.4578118502
167	0.4567605691
168	0.4555632268
169	0.4544077565
170	0.4534899351
171	0.4524517157
172	0.4516104845
173	0.4510176589
174	0.4508915732
175	0.4499981882
176	0.4489649281
177	0.4479405378
178	0.4473459834
179	0.4463538245
180	0.4451142912
181	0.4439936107
182	0.4433250869
183	0.442537854
184	0.4417779016
185	0.4408665665
186	0.439813804
187	0.4389306148
188	0.4381988686
189	0.4376176158
190	0.4367608564
191	0.4356600631
192	0.4351232731
193	0.4343858403
194	0.4336528978
195	0.4329076277
196	0.4320379854
197	0.4314758389
198	0.430263362
199	0.4296023431
200	0.4290450872
201	0.4283214917
202	0.4270693396
203	0.4262371754
204	0.4256669162
205	0.424913764
206	0.4240466021
207	0.4233142658
208	0.4224871359
209	0.4218073672
210	0.4208184658
211	0.420138144
212	0.4190869162
213	0.4181250715
214	0.4170239507
215	0.4163219242
216	0.4155973147
217	0.4147986125
218	0.4142181424
219	0.4135864698
220	0.4127475031
221	0.412158467
222	0.4115487084
223	0.4106790073
224	0.409987295
225	0.4089804428
226	0.408392355
227	0.4077471706
228	0.406808202
229	0.4059799544
230	0.4054272137
231	0.4044495278
232	0.4036692385
233	0.4030701454
234	0.4021964198
235	0.4014193646
236	0.4009318133
237	0.4001627855
238	0.3993727878
239	0.3987637207
240	0.3981541946
241	0.3973922375
242	0.396524401
243	0.395918347
244	0.3954440774
245	0.3948179921
246	0.3942401915
247	0.3934030261
248	0.3927364727
249	0.3923286109
250	0.3917556001
251	0.3911318496
252	0.3905619564
253	0.3900191003
254	0.389474361
255	0.3888568618
256	0.3882259168
257	0.3874145882
258	0.3864822388
259	0.3856792797
260	0.3851947475
261	0.3846266952
262	0.3840637196
263	0.3833495775
264	0.3827156523
265	0.3818930037
266	0.3812973092
267	0.3808840691
268	0.3802573553
269	0.3798039299
270	0.3791095603
271	0.3783834411
272	0.3779155665
273	0.3772820415
274	0.3765883872
275	0.3758919914
276	0.3750708488
277	0.3744612687
278	0.3738858398
279	0.3733250846
280	0.3725869218
281	0.3720149688
282	0.3715265114
283	0.3709026711
284	0.3703630091
285	0.3698797362
286	0.3694643416
287	0.3686763312
288	0.3679088256
289	0.367465736
290	0.3665749385
291	0.3659381648
292	0.3653794044
293	0.3648118196
294	0.3639780917
295	0.3633996075
296	0.3627060765
297	0.3622394981
298	0.3616123139
299	0.3612366085
300	0.360730307
301	0.3601937385
302	0.3598632737
303	0.3593885959
304	0.358685827
305	0.3582381931
306	0.3577991007
307	0.3570582927
308	0.3564079261
309	0.3557477714
310	0.3551674116
311	0.3544833147
312	0.3538349776
313	0.3533555873
314	0.3526357759
315	0.3520623725
316	0.3514489056
317	0.3510094006
318	0.35047325
319	0.3497695319
320	0.3494439676
321	0.3488946957
322	0.3484873055
323	0.3482184516
324	0.3477381566
325	0.3470334848
326	0.3464953454
327	0.3457728277
328	0.3453156759
329	0.3448119126
330	0.3444654164
331	0.3439118862
332	0.3432926332
333	0.3426808541
334	0.34213036
335	0.3416033402
336	0.3412945799
337	0.3407251692
338	0.3401077805
339	0.3395841235
