iter	Passed	Remaining
0	141	141544
1	157	78571
2	164	54707
3	168	41913
4	171	34152
5	174	28980
6	176	25016
7	178	22121
8	173	19049
9	178	17716
10	185	16708
11	191	15741
12	193	14684
13	197	13941
14	204	13397
15	213	13104
16	216	12532
17	220	12047
18	262	13578
19	268	13166
20	270	12619
21	273	12169
22	279	11871
23	281	11444
24	293	11441
25	303	11375
26	324	11698
27	333	11582
28	335	11249
29	350	11348
30	345	10813
31	377	11424
32	383	11243
33	379	10772
34	395	10898
35	397	10639
36	403	10508
37	407	10314
38	410	10123939	413	9924040	419	9817
41	426	9718
42	434	9676
43	437	9514
44	440	9344545	452	9382
46	454	9214747	460	9134848	469	9111
49	471	8960
50	474	8835
51	485	8844
52	491	8774
53	494	8671
54	498	8562
55	500	8437
56	502	8317
57	508	8265
58	516	8236
59	518	8123
60	520	8015
61	522	7910
62	531	7904
63	533	7804
64	536	7717
65	538	7622
66	540	7531
67	543	7452
68	546	7368
69	549	7299
70	551	7218
71	554	7142
72	556	7065
73	559	7004
74	563	6952
75	566	6882
76	568	6810
77	570	6739
78	572	6675
79	576	6632
80	580	6589
81	583	6528
82	585	6469
83	587	6408
84	590	6358
85	592	6300
86	595	6244
87	597	6192
88	599	6138
89	602	6093
90	606	6054
91	610	6025
92	613	5987
93	616	5942
94	619	5900
95	620	5844
96	621	5787
97	624	5749
98	626	5704
99	628	5659
100	631	5621
101	633	5580
102	635	5538
103	638	5498
104	641	5466
105	643	5426
106	645	5387
107	648	5353
108	654	5346
109	657	5320
110	660	5288
111	663	5263
112	666	5235
113	671	5219
114	678	5224
115	681	5194
116	685	5170
117	687	5141
118	692	5130
119	697	5114
120	699	5083
121	702	5052
122	712	5082
123	715	5053
124	716	5018
125	720	4996
126	722	4968
127	727	4955
128	731	4941
129	734	4916
130	740	4909
131	742	4885
132	744	4856
133	747	4831
134	758	4859
135	760	4833
136	762	4806
137	768	4800
138	774	4794
139	776	4769
140	779	4748
141	781	4722
142	790	4738
143	793	4719
144	796	4697
145	799	4679
146	809	4696
147	815	4696
148	822	4696
149	825	4678
150	832	4678
151	838	4675
152	842	4664
153	849	4668
154	856	4669
155	863	4670
156	870	4672
157	876	4670
158	880	4656
159	886	4652
160	888	4631
161	902	4668
162	907	4658
163	919	4684
164	932	4717
165	943	4742
166	967	4828
167	969	4802
168	983	4836
169	987	4820
170	1003	4866
171	1010	4862
172	1015	4854
173	1020	4846
174	1033	4870
175	1035	4849
176	1040	4839
177	1055	4874
178	1063	4876
179	1067	4863
180	1071	4846
181	1080	4854
182	1084	4841
183	1093	4851
184	1096	4829
185	1100	4816
186	1118	4861
187	1141	4931
188	1143	4905
189	1149	4902
190	1152	4881
191	1159	4878
192	1164	4867
193	1179	4898
194	1183	4884
195	1185	4863
196	1191	4857
197	1210	4901
198	1222	4922
199	1231	4924
200	1233	4902
201	1239	4895
202	1247	4899
203	1250	4879
204	1264	4902
207	1339	5099
208	1345	5090
209	1374	5170
210	1376	5147
211	1379	5127
212	1388	5130
213	1394	5120
212	1329	4913
215	1418	5147
216	1423	5136
217	1429	5128
218	1440	5138
219	1443	5118
220	1456	5135
221	1470	5154
222	1474	5137
223	1481	5130
224	1489	5130
225	1492	5111
226	1499	5106
227	1505	5098
228	1518	5111
229	1527	5114
230	1539	5126
231	1556	5152
232	1568	5162
233	1570	5141
234	1574	5124
235	1583	5126
236	1587	5110
237	1589	5090
238	1600	5096
239	1613	5110
240	1618	5095
241	1621	5079
242	1629	5077
243	1633	5062
244	1636	5042
245	1642	5033
246	1651	5035
247	1660	5034
248	1667	5030
249	1670	5012
250	1674	4997
251	1680	4989
252	1685	4976
253	1687	4955
254	1694	4950
255	1701	4943
256	1703	4924
257	1709	4917
258	1714	4904
259	1717	4887
260	1722	4876
261	1727	4864
262	1730	4849
263	1734	4834
264	1736	4816
265	1738	4796
266	1742	4784
267	1744	4766
268	1747	4749
269	1749	4730
270	1757	4726
271	1764	4722
272	1768	4710
273	1777	4709
274	1780	4694
275	1783	4679
276	1786	4663
277	1794	4659
278	1795	4639
279	1797	4622
280	1800	4606
281	1803	4590
282	1810	4585
283	1812	4568
284	1815	4554
285	1818	4539
286	1821	4524
287	1825	4513
288	1828	4498
289	1830	4481
290	1833	4467
291	1837	4454
292	1842	4445
293	1846	4433
294	1849	4420
295	1852	4405
296	1860	4403
297	1862	4388
298	1865	4372
299	1870	4365
300	1874	4353
301	1876	4337
302	1878	4322
303	1883	4312
304	1890	4307
305	1892	4292
306	1895	4278
307	1899	4268
308	1903	4257
309	1910	4252
310	1920	4254
311	1922	4239
312	1924	4224
313	1929	4215
314	1937	4212
315	1939	4198
316	1942	4184
317	1945	4172
318	1954	4172
319	1957	4158
320	1959	4144
321	1965	4138
322	1974	4137
323	1976	4123
324	1985	4124
325	1989	4113
326	1992	4100
327	1997	4092
328	2005	4090
329	2006	4074
330	2011	4065
331	2016	4057
332	2018	4044
333	2022	4032
334	2024	4018
335	2026	4005
336	2029	3993
337	2032	3979
338	2034	3967
339	2038	3956
340	2040	3943
341	2047	3938
342	2049	3925
343	2051	3912
344	2054	3901
345	2057	3888
346	2059	3875
347	2060	3860
348	2066	3854
349	2069	3844
350	2072	3832
351	2080	3829
352	2081	3815
353	2083	3802
354	2086	3790
355	2089	3779
356	2093	3770
357	2095	3758
358	2097	3745
359	2100	3733
360	2103	3723
361	2107	3714
362	2116	3713
363	2118	3701
364	2121	3690
365	2123	3679
366	2127	3669
367	2131	3659
368	2133	3647
369	2135	3635
370	2139	3628
371	2144	3620
372	2147	3609
373	2150	3599
374	2153	3588
375	2158	3581
376	2162	3572
377	2166	3565
378	2170	3555
379	2172	3544
380	2177	3537
381	2181	3528
382	2183	3518
383	2186	3507
384	2188	3496
385	2190	3484
386	2194	3476
387	2198	3467
388	2200	3455
389	2202	3445
390	2205	3434
391	2207	3423
392	2210	3414
393	2214	3405
394	2219	3398
395	2221	3388
396	2223	3377
397	2225	3366
398	2230	3359
399	2234	3351
400	2235	3339
401	2237	3328
402	2246	3328
403	2250	3320
404	2255	3313
405	2259	3305
406	2263	3297
407	2266	3289
408	2272	3284
409	2276	3276
410	2279	3266
411	2282	3257
412	2285	3248
413	2289	3240
414	2292	3231
415	2294	3221
416	2296	3211
417	2302	3205
418	2306	3198
419	2310	3191
420	2313	3182
421	2315	3171
422	2318	3162
423	2322	3154
424	2328	3150
425	2331	3141
426	2333	3131
427	2336	3122
428	2338	3112
429	2340	3102
430	2343	3093
431	2346	3085
432	2352	3080
433	2354	3070
434	2357	3061
435	2359	3052
436	2366	3049
437	2369	3040
438	2373	3033
439	2379	3028
440	2383	3021
441	2387	3013
442	2389	3004
443	2391	2994
444	2394	2986
445	2399	2980
446	2401	2970
447	2403	2961
448	2405	2952
449	2408	2943
450	2411	2935
451	2413	2926
452	2417	2918
453	2419	2909
454	2422	2901
455	2424	2892
456	2426	2883
457	2430	2876
458	2433	2868
459	2437	2860
460	2440	2853
461	2442	2844
462	2444	2835
463	2447	2826
464	2449	2817
465	2451	2809
466	2453	2800
467	2456	2792
468	2459	2784
469	2464	2778
470	2470	2775
471	2474	2768
472	2477	2760
473	2480	2752
474	2483	2745
475	2486	2736
476	2488	2728
477	2490	2720
478	2492	2711
479	2495	2702
480	2497	2695
481	2500	2687
482	2503	2679
483	2505	2671
484	2508	2663
485	2510	2655
486	2515	2649
487	2519	2643
488	2521	2635
489	2524	2627
490	2526	2619
491	2528	2610
492	2529	2601
493	2534	2596
494	2536	2588
495	2538	2579
496	2540	2571
497	2545	2566
498	2550	2560
499	2553	2553
500	2555	2545
501	2560	2540
502	2564	2533
503	2566	2526
504	2569	2518
505	2573	2512
506	2575	2504
507	2577	2496
508	2580	2489
509	2583	2482
510	2585	2474
511	2588	2466
512	2592	2460
513	2596	2455
514	2598	2447
515	2601	2440
516	2603	2432
517	2606	2425
